Feature,Model_Importance,SHAP_Importance
cholesterol,0.18522156030392306,0.057980994955041665
avg_glucose_level,0.16288175253104328,0.1176797063310908
whitebloodcellcount,0.11152463324609378,0.03932884076232282
age,0.09829198451237187,0.046177732647782424
bpdiastolic,0.08917492653516772,0.03447589772621864
bmi,0.0741543174091274,0.028451193717629594
redbloodcellcount,0.06343979556141874,0.009205409037246377
work_type,0.05368192661655702,0.04029709561994668
bpsystolic,0.04606955852869538,0.030918795911930648
diabetes,0.036406009327250834,0.07460796933267344
alcohol,0.025149083354459537,0.020740707250152444
smoking_status,0.020333291290948012,0.01127030629413505
residence_type,0.01694027121523248,0.00877639121246098
family_history,0.008563355132671455,0.002734941286525587
gender,0.004732273280872516,0.0034911409872218284
hypertension,0.003094939662090929,0.0012019221606079987
ever_married,0.00026118663806187125,0.0008656945721334173
heart_disease,7.913485401417229e-05,9.47291041080839e-05
